timestamp,dhw_heat_kWh,dhw_heat_kW,water_L,water_LperH
2019-01-01 00:00:00,0.0,0.0,0.0,0.0
2019-01-01 01:00:00,16.744035,16.744035,327.0,327.0
2019-01-01 02:00:00,19.406694999999996,19.406694999999996,379.0,379.0
2019-01-01 03:00:00,16.129575,16.129575,315.0,315.0
2019-01-01 04:00:00,20.68682,20.686819999999997,404.0,404.0
2019-01-01 05:00:00,21.454895,21.454895,419.0,419.0
2019-01-01 06:00:00,21.762124999999994,21.762124999999994,425.0,425.0
2019-01-01 07:00:00,429.04669499999994,429.04669499999994,8379.0,8379.0
2019-01-01 08:00:00,460.64017999999993,460.64017999999993,8996.0,8996.0
2019-01-01 09:00:00,114.545585,114.545585,2237.0,2237.0
2019-01-01 10:00:00,117.97632,117.97631999999999,2304.0,2304.0
2019-01-01 11:00:00,80.18703,80.18703,1566.0,1566.0
2019-01-01 12:00:00,66.61770499999999,66.61770499999999,1301.0,1301.0
2019-01-01 13:00:00,75.27135,75.27135,1470.0,1470.0
2019-01-01 14:00:00,65.64480999999999,65.64480999999999,1282.0,1282.0
2019-01-01 15:00:00,261.401525,261.401525,5105.0,5105.0
2019-01-01 16:00:00,236.10625499999998,236.10625499999998,4611.0,4611.0
2019-01-01 17:00:00,41.01520499999999,41.01520499999999,801.0,801.0
2019-01-01 18:00:00,49.617645,49.617644999999996,969.0,969.0
2019-01-01 19:00:00,36.201935,36.201935,707.0,707.0
2019-01-01 20:00:00,135.23240499999997,135.23240499999997,2641.0,2641.0
2019-01-01 21:00:00,158.172245,158.172245,3089.0,3089.0
2019-01-01 22:00:00,147.67522,147.67522,2884.0,2884.0
2019-01-01 23:00:00,13.3133,13.3133,260.0,260.0
2019-01-02 00:00:00,10.599435,10.599435,207.0,207.0
2019-01-02 01:00:00,14.849450000000003,14.849450000000003,290.0,290.0
2019-01-02 02:00:00,9.31931,9.31931,182.0,182.0
2019-01-02 03:00:00,10.650640000000001,10.650640000000001,208.0,208.0
2019-01-02 04:00:00,15.207885000000001,15.207885000000001,297.0,297.0
2019-01-02 05:00:00,8.90967,8.90967,174.0,174.0
2019-01-02 06:00:00,9.83136,9.83136,192.0,192.0
2019-01-02 07:00:00,461.6130750000001,461.6130750000001,9015.0,9015.0
2019-01-02 08:00:00,120.33174999999999,120.33174999999999,2350.0,2350.0
2019-01-02 09:00:00,84.744275,84.744275,1655.0,1655.0
2019-01-02 10:00:00,114.135945,114.135945,2229.0,2229.0
2019-01-02 11:00:00,106.50640000000001,106.50640000000001,2080.0,2080.0
2019-01-02 12:00:00,210.70857499999994,210.70857499999994,4115.0,4115.0
2019-01-02 13:00:00,113.31666500000001,113.31666500000001,2213.0,2213.0
2019-01-02 14:00:00,105.533505,105.533505,2061.0,2061.0
2019-01-02 15:00:00,92.834665,92.834665,1813.0,1813.0
2019-01-02 16:00:00,71.68700000000001,71.68700000000001,1400.0,1400.0
2019-01-02 17:00:00,68.665905,68.665905,1341.0,1341.0
2019-01-02 18:00:00,211.37424000000001,211.37424000000001,4128.0,4128.0
2019-01-02 19:00:00,234.00685000000001,234.00685000000001,4570.0,4570.0
2019-01-02 20:00:00,196.883225,196.883225,3845.0,3845.0
2019-01-02 21:00:00,211.78388,211.78388,4136.0,4136.0
2019-01-02 22:00:00,5.01809,5.01809,98.0,98.0
2019-01-02 23:00:00,14.54222,14.54222,284.0,284.0
2019-01-03 00:00:00,9.933769999999999,9.93377,194.0,194.0
2019-01-03 01:00:00,10.189795,10.189795,199.0,199.0
2019-01-03 02:00:00,10.906665,10.906665,213.0,213.0
2019-01-03 03:00:00,12.340405,12.340405,241.0,241.0
2019-01-03 04:00:00,14.081375,14.081375,275.0,275.0
2019-01-03 05:00:00,9.677745,9.677745,189.0,189.0
2019-01-03 06:00:00,12.90366,12.90366,252.0,252.0
2019-01-03 07:00:00,478.51072500000004,478.51072500000004,9345.0,9345.0
2019-01-03 08:00:00,109.47629,109.47629,2138.0,2138.0
2019-01-03 09:00:00,99.3377,99.3377,1940.0,1940.0
2019-01-03 10:00:00,100.31059499999996,100.31059499999996,1959.0,1959.0
2019-01-03 11:00:00,102.25638500000001,102.25638500000001,1997.0,1997.0
2019-01-03 12:00:00,212.654365,212.654365,4153.0,4153.0
2019-01-03 13:00:00,103.53650999999999,103.53650999999999,2022.0,2022.0
2019-01-03 14:00:00,114.28955999999998,114.28955999999998,2232.0,2232.0
2019-01-03 15:00:00,112.19015499999999,112.19015499999999,2191.0,2191.0
2019-01-03 16:00:00,70.304465,70.304465,1373.0,1373.0
2019-01-03 17:00:00,60.11467,60.11467,1174.0,1174.0
2019-01-03 18:00:00,193.196465,193.196465,3773.0,3773.0
2019-01-03 19:00:00,205.99771499999997,205.99771499999997,4023.0,4023.0
2019-01-03 20:00:00,220.48872999999998,220.48872999999998,4306.0,4306.0
2019-01-03 21:00:00,206.91940499999995,206.91940499999998,4041.0,4041.0
2019-01-03 22:00:00,12.801249999999998,12.801249999999998,250.0,250.0
2019-01-03 23:00:00,13.006070000000001,13.006070000000001,254.0,254.0
2019-01-04 00:00:00,8.960875000000001,8.960875000000001,175.0,175.0
2019-01-04 01:00:00,11.111485000000002,11.111485000000002,217.0,217.0
2019-01-04 02:00:00,9.626539999999999,9.626539999999999,188.0,188.0
2019-01-04 03:00:00,11.930765,11.930764999999997,233.0,233.0
2019-01-04 04:00:00,12.852454999999999,12.852454999999999,251.0,251.0
2019-01-04 05:00:00,13.876555000000002,13.876555000000002,271.0,271.0
2019-01-04 06:00:00,10.087385,10.087385,197.0,197.0
2019-01-04 07:00:00,454.8540150000001,454.8540150000001,8883.0,8883.0
2019-01-04 08:00:00,112.44617999999998,112.44617999999998,2196.0,2196.0
2019-01-04 09:00:00,92.32261499999997,92.32261499999997,1803.0,1803.0
2019-01-04 10:00:00,111.42208,111.42208,2176.0,2176.0
2019-01-04 11:00:00,119.71729,119.71729,2338.0,2338.0
2019-01-04 12:00:00,212.50075,212.50075,4150.0,4150.0
2019-01-04 13:00:00,118.33475500000003,118.33475500000004,2311.0,2311.0
2019-01-04 14:00:00,89.81357,89.81357,1754.0,1754.0
2019-01-04 15:00:00,110.80762,110.80761999999999,2164.0,2164.0
2019-01-04 16:00:00,72.09664,72.09664,1408.0,1408.0
2019-01-04 17:00:00,68.56349499999999,68.56349499999999,1339.0,1339.0
2019-01-04 18:00:00,216.18750999999995,216.18750999999995,4222.0,4222.0
2019-01-04 19:00:00,223.50982500000003,223.50982500000003,4365.0,4365.0
2019-01-04 20:00:00,191.96754499999997,191.96754499999997,3749.0,3749.0
2019-01-04 21:00:00,204.359155,204.359155,3991.0,3991.0
2019-01-04 22:00:00,9.72895,9.728950000000001,190.0,190.0
2019-01-04 23:00:00,11.418715,11.418715,223.0,223.0
2019-01-05 00:00:00,23.24707,23.24707,454.0,454.0
2019-01-05 01:00:00,22.171764999999997,22.171764999999997,433.0,433.0
2019-01-05 02:00:00,20.430795,20.430795,399.0,399.0
2019-01-05 03:00:00,19.765130000000003,19.765130000000003,386.0,386.0
2019-01-05 04:00:00,24.117555,24.117555,471.0,471.0
2019-01-05 05:00:00,21.454895,21.454895,419.0,419.0
2019-01-05 06:00:00,20.686819999999997,20.686819999999997,404.0,404.0
2019-01-05 07:00:00,448.45339,448.45339,8758.0,8758.0
2019-01-05 08:00:00,442.9744549999999,442.9744549999999,8651.0,8651.0
2019-01-05 09:00:00,115.67209499999997,115.67209499999997,2259.0,2259.0
2019-01-05 10:00:00,118.48836999999999,118.48836999999999,2314.0,2314.0
2019-01-05 11:00:00,93.961175,93.961175,1835.0,1835.0
2019-01-05 12:00:00,94.31960999999997,94.31960999999997,1842.0,1842.0
2019-01-05 13:00:00,78.24124,78.24124,1528.0,1528.0
2019-01-05 14:00:00,71.68700000000001,71.68700000000001,1400.0,1400.0
